7.080	51.613	7.184
7.130	26.419	5.140
7.180	54.079	7.354
7.230	437.060	20.906
7.280	884.840	29.746
7.331	395.300	19.882
7.381	152.090	12.332
7.431	97.574	9.878
7.481	87.976	9.380
7.531	52.173	7.223
7.581	38.677	6.219
7.631	21.770	4.666
7.681	21.373	4.623
7.731	18.599	4.313
7.782	15.312	3.913
7.832	14.542	3.813
7.882	12.578	3.547
7.932	10.750	3.279
7.982	8.799	2.966
8.032	4.400	2.098
8.082	3.160	1.778
8.132	6.382	2.526
8.182	4.159	2.039
8.232	1.737	1.318
8.283	1.149	1.072
8.333	0.738	0.859
8.383	2.113	1.454
8.433	2.179	1.476
8.483	1.108	1.053
8.533	1.477	1.215
8.583	1.269	1.127
8.633	0.338	0.581
8.684	0.548	0.740
8.734	0.877	0.937
8.784	1.025	1.012
8.834	-0.132	0.363
8.884	0.049	0.221
8.934	1.412	1.188
8.984	1.149	1.072
9.034	0.285	0.534
9.085	-0.215	0.464
9.135	1.966	1.402
9.185	5.868	2.422
9.235	16.715	4.088
9.285	6.624	2.574
9.335	2.058	1.435
9.385	0.467	0.683
9.435	-0.153	0.391
9.486	1.122	1.059
9.536	0.590	0.768
9.586	-1.188	1.090
9.636	-0.251	0.501
9.686	4.990	2.234
9.736	-1.206	1.098
9.786	-0.310	0.557
9.837	-0.480	0.693
9.887	0.090	0.300
9.937	1.212	1.101
9.987	-0.031	0.175
10.037	-0.797	0.892
10.087	2.016	1.420
10.137	5.813	2.411
10.188	14.260	3.776
10.238	12.942	3.598
10.288	-2.136	1.462
10.338	-6.061	2.462
10.388	8.360	2.891
10.438	-7.747	2.783
10.488	-5.407	2.325
10.539	-1.591	1.262
10.589	0.217	0.466
10.639	-2.618	1.618
10.689	3.460	1.860
10.739	6.761	2.600
10.789	0.397	0.630
10.840	0.183	0.428
10.890	0.812	0.901
10.940	1.308	1.143
10.990	1.898	1.378
11.040	0.092	0.303
11.090	2.948	1.717
11.140	1.485	1.218
11.191	-0.582	0.763
11.241	1.887	1.374
11.291	2.303	1.518
11.341	3.403	1.845
11.391	3.483	1.866
11.441	7.301	2.702
11.492	10.611	3.257
11.542	7.767	2.787
11.592	10.768	3.281
11.642	16.198	4.025
11.692	26.607	5.158
11.742	38.708	6.221
11.793	74.476	8.630
11.843	181.280	13.464
11.893	260.130	16.129
11.943	182.910	13.524
11.993	97.312	9.865
12.044	47.107	6.863
12.094	26.828	5.180
12.144	20.762	4.557
12.194	8.211	2.866
12.244	6.110	2.472
12.294	5.483	2.341
12.345	2.143	1.464
12.395	14.252	3.775
12.445	16.279	4.035
12.495	7.046	2.655
12.545	-0.102	0.319
12.596	-3.646	1.909
12.646	3.915	1.979
12.696	0.029	0.170
12.746	2.839	1.685
12.796	3.390	1.841
12.847	-3.261	1.806
12.897	25.101	5.010
12.947	13.061	3.614
12.997	0.687	0.829
13.047	1.304	1.142
13.097	0.792	0.890
13.148	0.399	0.632
13.198	4.207	2.051
13.248	4.295	2.072
13.298	18.628	4.316
13.348	26.206	5.119
13.399	40.924	6.397
13.449	47.017	6.857
13.499	41.922	6.475
13.549	30.668	5.538
13.600	28.942	5.380
13.650	19.935	4.465
13.700	15.212	3.900
13.750	13.238	3.638
13.800	6.746	2.597
13.851	13.467	3.670
13.901	10.764	3.281
13.951	9.831	3.135
14.001	7.811	2.795
14.051	7.592	2.755
14.102	10.526	3.244
14.152	6.598	2.569
14.202	9.097	3.016
14.252	11.165	3.341
14.302	10.287	3.207
14.353	8.277	2.877
14.403	10.430	3.230
14.453	7.398	2.720
14.503	6.161	2.482
